8.0.386814749.1|[3,7,13,0,2,-2,4,-1,1]
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]
8.0.404205625.1|[16,-24,32,-28,23,-14,8,-3,1]
8.0.432972864.2|[16,-8,4,8,-6,4,1,-1,1]
8.0.440605625.1|[16,-24,24,-22,17,-11,6,-3,1]
8.0.446265625.1|[81,27,36,21,19,-7,4,-1,1]
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]
8.0.454201344.7|[169,-182,128,-12,-25,24,-4,-2,1]
8.0.470415469.1|[2,-3,10,-20,21,-10,5,-2,1]
8.0.494613125.1|[11,-10,27,-17,19,-12,9,-3,1]
8.0.508277025.1|[19,3,-22,3,21,-15,5,-3,1]
8.0.516425625.1|[25,25,45,0,21,-2,8,-2,1]
8.0.519110656.2|[49,0,-62,0,39,0,-10,0,1]
8.0.542936601.2|[16,-8,8,-8,1,-4,2,-1,1]
8.0.551380625.1|[16,-16,24,-18,17,-9,6,-2,1]
8.0.557688125.1|[25,-25,45,-35,31,-18,8,-3,1]
8.0.562828176.1|[16,-16,4,4,-6,2,1,-2,1]
8.0.582918125.1|[11,-3,19,-15,21,-9,8,-2,1]
8.0.595360000.6|[25,0,-40,0,26,0,-7,0,1]
8.0.596189889.1|[1,0,18,0,23,0,9,0,1]
8.0.601286293.1|[3,-2,13,-18,17,-9,7,-3,1]
8.0.601475625.1|[81,-27,-36,3,13,1,-4,-1,1]
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]
8.0.629407744.1|[16,0,-8,0,2,0,-2,0,1]
8.0.643938125.1|[5,-5,6,-17,18,-9,8,-2,1]
8.0.645993125.1|[11,-31,58,-63,55,-31,15,-4,1]
8.0.649638144.4|[169,0,-170,0,75,0,-14,0,1]
8.0.677530625.1|[16,-8,20,-10,13,-5,5,-1,1]
8.0.705911761.1|[16,-8,4,-8,5,-4,1,-1,1]
8.0.739840000.6|[4,0,18,16,23,6,5,-2,1]
8.0.764411904.5|[81,0,-54,0,21,0,-6,0,1]
8.0.778047488.1|[16,-16,20,-20,13,-10,5,-2,1]
8.0.796594176.1|[4,-16,46,-64,63,-2,-5,-2,1]
8.0.856615824.2|[4,0,32,0,36,0,11,0,1]
8.0.877268125.1|[19,14,25,3,18,-5,8,-2,1]
8.0.883575625.1|[81,0,9,0,17,0,1,0,1]
8.0.896063125.1|[4,2,17,-2,4,-5,7,-3,1]
8.0.897122304.10|[169,0,-104,0,51,0,-8,0,1]
8.0.903363136.1|[16,0,-12,0,6,0,-3,0,1]
8.0.903363136.2|[16,-24,8,10,-13,5,2,-3,1]
8.0.959512576.1|[81,0,0,0,7,0,0,0,1]
8.0.978188125.1|[25,-25,35,-25,29,-16,10,-3,1]
8.0.980441344.2|[1,0,9,0,18,0,8,0,1]
8.0.1077480625.1|[16,-24,20,-14,11,-7,5,-3,1]
8.0.1087518125.1|[19,-10,31,-24,30,-13,9,-2,1]
8.0.1117163776.3|[16,-16,4,8,-11,4,1,-2,1]
8.0.1121513121.1|[13,28,18,16,8,-4,4,-3,1]
